Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
P Amarnath,200802008,6,0,0,0,0,0,0,0,0,0,0,0,0
S Anirudha,200802013,20,13,5,136,64,11.0,113,91.57,0,1,2,9,7
KB Arun Karthik,201002010,17,8,3,51,3*,4.8,51,82.17,0,0,1,4,1
R Ashwin,200902015,125,46,16,333,23,15.8125,311,113.3725,0,0,7,29,7
KM Asif,201802018,2,0,0,0,0,0,0,0,0,0,0,0,0
S Badree,201402014,12,5,0,13,0,1.3,23,28.26,0,0,2,0,0
S Badrinath,200802013,95,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28
GJ Bailey,200902010,40,37,10,663,30,22.2,544,100.6625,0,2,1,59,19
L Balaji,200802010,73,15,7,36,15,7.665,49,78.6725,0,0,5,2,1
SW Billings,201802018,21,18,0,334,56,18.05,246,136.49,0,3,2,31,10
DE Bollinger,201002012,27,4,3,21,16*,21.00,23,91.30,0,0,0,1,1
DJ Bravo,201102018,122,93,34,1403,68,21.03,1090,123.03,0,5,3,111,58
DL Chahar,201802018,17,5,1,64,39,15.33,35,202.87,0,0,1,1,6
MS Dhoni,200802018,175,158,58,4016,79*,36.925,2906,132.745,0,20,3,275,186
F du Plessis,201202018,59,52,4,1457,73,30.44,1141,127.25,0,9,2,127,44
SP Fleming,200802008,10,10,1,196,45,21.77,165,118.78,0,0,1,27,3
A Flintoff,200902009,3,3,1,62,24,31.00,53,116.98,0,0,0,5,2
C Ganapathy,201002010,1,1,1,0,0*,0,0,0,0,0,0,0,0
MS Gony,200802010,44,17,7,99,15*,7.4375,71,112.36,0,0,3,6,8
Harbhajan Singh,201802018,149,87,35,828,19,12.98,597,111.485,0,1,13,79,42
JW Hastings,201402014,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0
ML Hayden,200802010,32,32,2,1107,93,36.90,805,137.51,0,8,1,121,44
BW Hilfenhaus,201202014,17,1,1,0,0*,0,0,0,0,0,0,0,0
JO Holder,201302013,11,5,0,38,0,9.375,31,95.61,0,0,1,4,2
DJ Hussey,201402014,64,61,12,1322,50*,34.15,1075,124.2025,0,5,4,90,60
MEK Hussey,200802015,59,58,7,1977,116*,32.655,1612,119.23,1,15,1,198,52
Imran Tahir,201802018,38,7,3,20,2*,1.125,27,44.565,0,0,0,3,0
RA Jadeja,201202018,154,119,42,1821,48,25.71875,1483,120.255,0,0,6,128,61
KM Jadhav,201802018,65,58,20,917,24*,17.45,684,120.87625,0,3,5,73,35
SB Jakati,200902012,59,8,7,28,13,6.75,29,37.5,0,0,0,3,0
Joginder Sharma,200802011,16,6,2,36,16*,9.00,30,120.00,0,0,2,1,2
S Randiv,201102011,8,1,0,2,2,2.00,4,50.00,0,0,0,0,0
CK Kapugedera,200802008,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0
JM Kemp,201002010,5,2,0,26,22,13.00,24,108.33,0,0,0,1,1
KMDN Kulasekara,201102012,6,1,1,5,5*,0,3,166.66,0,0,0,1,0
B Laughlin,201302013,9,4,2,5,4*,2.5,13,34.72,0,0,2,0,0
BB McCullum,201402015,109,109,5,2880,100*,24.48125,2186,135.899375,2,13,6,293,130
VY Mahesh,201202012,18,5,3,15,0,3.75,27,27.775,0,0,0,0,0
M Manhas,201402014,55,38,15,514,13*,21.48,470,117.86,0,0,6,43,10
RG More,201502015,2,1,1,2,2*,0,2,100.00,0,0,0,0,0
JA Morkel,200802013,91,68,28,974,71,25.2025,686,133.95875,0,3,3,61,55
CH Morris,201302013,52,33,20,485,7*,31.72,291,147.6,0,2,3,36,25
