Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
P Amarnath,200802008,6,6,22.0,0,236,7,2/29,33.71,10.72,18.8,0,0,2,0
S Anirudha,200802013,20,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,11,0
KB Arun Karthik,201002010,17,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,11,2
R Ashwin,200902015,125,122,431.8,4,2909,110,3/16,32.255,7.26,26.425,1,0,28,0
KM Asif,201802018,2,2,6.0,0,75,3,2/43,25.00,12.50,12.0,0,0,0,0
S Badree,201402014,12,12,43.0,1,319,11,1/19,22.565,7.615,18.8,1,0,2,0
S Badrinath,200802013,95,0,0,0,0,0,0,0,0,0,0,0,16,0
GJ Bailey,200902010,40,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,11,0
L Balaji,200802010,73,73,251.7,2,2028,76,5/24,26.685,8.045,20.075,3,1,11,0
SW Billings,201802018,21,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,12,0
DE Bollinger,201002012,27,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0,8,0
DJ Bravo,201102018,122,119,389.4,2,3288,136,4/42,26.665,8.4125,18.975,2,0,69,0
DL Chahar,201802018,17,17,50.1,1,393,11,3/15,71.4,8.43,47.45,0,0,2,0
MS Dhoni,200802018,175,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,87,33
F du Plessis,201202018,59,1,1.0,0,16,0,0,0.0,8.0,0.0,0,0,30,0
SP Fleming,200802008,10,0,0,0,0,0,0,0,0,0,0,0,2,0
A Flintoff,200902009,3,3,11.0,0,105,2,1/11,52.50,9.54,33.0,0,0,4,0
C Ganapathy,201002010,1,1,1.0,0,13,0,0,0,13.00,0,0,0,0,0
MS Gony,200802010,44,44,148.0,3,1287,37,3/34,27.34,10.71375,18.2875,0,0,6,0
Harbhajan Singh,201802018,149,146,517.8,5,3655,134,2/22,32.61,7.715,25.05,1,1,44,0
JW Hastings,201402014,3,3,9.4,1,66,3,1/29,23.75,7.605,19.0,0,0,0,0
ML Hayden,200802010,32,0,0,0,0,0,0,0,0,0,0,0,11,0
BW Hilfenhaus,201202014,17,17,62.0,2,479,22,3/27,21.77,7.72,16.9,0,0,1,0
JO Holder,201302013,11,11,36.0,0,306,5,2/20,51.375,9.91,33.75,0,0,5,0
DJ Hussey,201402014,64,26,52.5,0,474,8,2/38,77.75,9.9525,51.25,0,0,25,0
MEK Hussey,200802015,59,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,26,0
Imran Tahir,201802018,38,38,139.6,0,1180,53,2/34,23.4525,8.35,16.675,1,0,7,0
RA Jadeja,201202018,154,126,361.5,0,2809,93,5/16,33.37125,7.20625,27.575,3,1,54,0
KM Jadhav,201802018,65,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,23,7
SB Jakati,200902012,59,57,180.5,1,1451,47,4/22,35.305,9.8275,23.8,2,0,21,0
Joginder Sharma,200802011,16,15,42.4,0,419,12,2/27,34.91,9.82,21.3,0,0,5,0
S Randiv,201102011,8,8,29.0,0,223,6,2/24,37.16,7.68,29.0,0,0,2,0
CK Kapugedera,200802008,5,3,2.5,0,49,0,0,0,17.29,0,0,0,4,0
JM Kemp,201002010,5,5,7.2,0,54,3,3/12,18.00,7.36,14.6,0,0,1,0
KMDN Kulasekara,201102012,6,5,17.0,0,120,5,2/10,24.00,7.05,20.4,0,0,4,0
B Laughlin,201302013,9,9,27.5,0,282,10,1/25,47.22,10.13,27.9,0,0,1,0
BB McCullum,201402015,109,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,37,6
VY Mahesh,201202012,18,17,56.3,0,499,21,2/21,25.11,8.765,17.15,1,0,6,0
M Manhas,201402014,55,3,7.0,0,42,0,0,0.0,3.0,0.0,0,0,20,0
RG More,201502015,2,2,5.5,0,59,1,1/31,59.00,10.11,35.0,0,0,1,0
