,batsman,bowler,0,1,2,3,4,6,notout,balls
0,M Vijay,Harbhajan Singh,0.4310344827586207,0.8793103448275863,0.9655172413793105,0.9827586206896554,1.0000000000000002,1.0000000000000002,0.9482758620689655,58
1,ML Hayden,Harbhajan Singh,0.5333333333333333,0.888888888888889,0.9111111111111112,0.9111111111111112,0.9333333333333335,1.0000000000000002,0.9777777777777777,45
2,ML Hayden,SL Malinga,0.6060606060606061,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9696969696969697,1.0,1.0,33
3,M Vijay,SL Malinga,0.55,0.9,0.9,0.9,1.0,1.0,1.0,40
4,M Vijay,Z Khan,0.475,0.825,0.95,0.95,0.975,1.0,1.0,40
5,ML Hayden,Z Khan,0.5555555555555556,0.7037037037037037,0.7037037037037037,0.7037037037037037,1.0,1.0,0.962962962962963,27
6,M Vijay,CRD Fernando,0.5,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.8333333333333334,6
7,ML Hayden,CRD Fernando,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,7
8,SK Raina,KA Pollard,0.2708333333333333,0.7083333333333333,0.8124999999999999,0.8124999999999999,0.9374999999999999,0.9999999999999999,0.9791666666666666,48
9,ML Hayden,KA Pollard,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,6
10,S Badrinath,KA Pollard,0.3469387755102041,0.8571428571428572,0.8979591836734695,0.8979591836734695,1.0,1.0,0.9591836734693877,49
11,S Badrinath,Harbhajan Singh,0.2432432432432433,0.8378378378378379,0.9189189189189191,0.9189189189189191,0.9729729729729731,1.0000000000000002,1.0,37
12,SK Raina,Harbhajan Singh,0.336,0.8640000000000001,0.9200000000000002,0.9200000000000002,0.9520000000000002,1.0000000000000002,0.96,125
13,S Badrinath,CRD Fernando,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2
14,MS Dhoni,CRD Fernando,0.5,1.0,1.0,1.0,1.0,1.0,1.0,6
15,MS Dhoni,KA Pollard,0.3333333333333333,0.6842105263157894,0.719298245614035,0.719298245614035,0.894736842105263,0.9999999999999999,0.9473684210526316,57
16,SK Raina,SL Malinga,0.3684210526315789,0.7719298245614035,0.8421052631578947,0.8771929824561403,0.9649122807017543,0.9999999999999999,0.9824561403508771,57
17,MS Dhoni,SL Malinga,0.3389830508474576,0.7627118644067796,0.8644067796610169,0.8644067796610169,0.9491525423728813,0.9999999999999999,0.9661016949152542,59
18,SK Raina,Z Khan,0.38461538461538464,0.6923076923076923,0.7435897435897436,0.7435897435897436,0.9230769230769231,1.0,0.9487179487179487,39
19,MS Dhoni,Z Khan,0.372093023255814,0.6046511627906976,0.7674418604651163,0.7674418604651163,0.8837209302325582,1.0,0.8372093023255813,43
20,SK Raina,CRD Fernando,0.6,0.6,0.6,0.6,1.0,1.0,1.0,5
21,JA Morkel,Z Khan,0.3076923076923077,0.7692307692307694,0.8461538461538463,0.8461538461538463,1.0,1.0,1.0,13
22,JA Morkel,Harbhajan Singh,0.375,0.375,0.75,0.75,0.75,1.0,0.875,8
23,S Anirudha,SL Malinga,0.5,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.9999999999999999,1.0,6
