batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
M Vijay,Harbhajan Singh,0.43103448275862066,0.4482758620689655,0.08620689655172414,0.017241379310344827,0.017241379310344827,0.0,0.05172413793103448,0,5,58
ML Hayden,Harbhajan Singh,0.5333333333333333,0.35555555555555557,0.022222222222222223,0.0,0.022222222222222223,0.06666666666666667,0.022222222222222223,0,5,45
ML Hayden,SL Malinga,0.6060606060606061,0.2727272727272727,0.030303030303030304,0.0,0.06060606060606061,0.030303030303030304,0.0,0,5,33
M Vijay,SL Malinga,0.55,0.35,0.0,0.0,0.1,0.0,0.0,0,5,40
M Vijay,Z Khan,0.475,0.35,0.125,0.0,0.025,0.025,0.0,0,5,40
ML Hayden,Z Khan,0.5555555555555556,0.14814814814814814,0.0,0.0,0.2962962962962963,0.0,0.037037037037037035,0,5,27
M Vijay,CRD Fernando,0.5,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0,5,6
ML Hayden,CRD Fernando,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0,5,7
SK Raina,KA Pollard,0.2708333333333333,0.4375,0.10416666666666667,0.0,0.125,0.0625,0.020833333333333332,0,5,48
ML Hayden,KA Pollard,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0,5,6
S Badrinath,KA Pollard,0.3469387755102041,0.5102040816326531,0.04081632653061224,0.0,0.10204081632653061,0.0,0.04081632653061224,0,5,49
S Badrinath,Harbhajan Singh,0.24324324324324326,0.5945945945945946,0.08108108108108109,0.0,0.05405405405405406,0.02702702702702703,0.0,0,5,37
SK Raina,Harbhajan Singh,0.336,0.528,0.056,0.0,0.032,0.048,0.04,0,5,125
S Badrinath,CRD Fernando,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,5,2
MS Dhoni,CRD Fernando,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,5,6
MS Dhoni,KA Pollard,0.3333333333333333,0.3508771929824561,0.03508771929824561,0.0,0.17543859649122806,0.10526315789473684,0.05263157894736842,3,5,57
SK Raina,SL Malinga,0.3684210526315789,0.40350877192982454,0.07017543859649122,0.03508771929824561,0.08771929824561403,0.03508771929824561,0.017543859649122806,0,5,57
MS Dhoni,SL Malinga,0.3389830508474576,0.423728813559322,0.1016949152542373,0.0,0.0847457627118644,0.05084745762711865,0.03389830508474576,3,5,59
SK Raina,Z Khan,0.38461538461538464,0.3076923076923077,0.05128205128205128,0.0,0.1794871794871795,0.07692307692307693,0.05128205128205128,0,5,39
MS Dhoni,Z Khan,0.37209302325581395,0.23255813953488372,0.16279069767441862,0.0,0.11627906976744186,0.11627906976744186,0.16279069767441862,3,5,43
SK Raina,CRD Fernando,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0,5,5
JA Morkel,Z Khan,0.3076923076923077,0.46153846153846156,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0,5,13
JA Morkel,Harbhajan Singh,0.375,0.0,0.375,0.0,0.0,0.25,0.125,0,5,8
S Anirudha,SL Malinga,0.5,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0,5,6
S Dhawan,R Ashwin,0.42028985507246375,0.4782608695652174,0.07246376811594203,0.0,0.028985507246376812,0.0,0.014492753623188406,0,5,69
SR Tendulkar,DE Bollinger,0.5769230769230769,0.34615384615384615,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0,5,26
S Dhawan,DE Bollinger,0.5294117647058824,0.29411764705882354,0.0,0.0,0.17647058823529413,0.0,0.058823529411764705,0,5,17
AM Nayar,DE Bollinger,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,5,3
SR Tendulkar,R Ashwin,0.3125,0.46875,0.0625,0.0,0.15625,0.0,0.03125,0,5,32
AM Nayar,R Ashwin,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0,5,4
SR Tendulkar,JA Morkel,0.52,0.18,0.02,0.0,0.22,0.06,0.0,0,5,50
AM Nayar,JA Morkel,0.3333333333333333,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0,5,6
SR Tendulkar,M Muralitharan,0.3333333333333333,0.37037037037037035,0.14814814814814814,0.0,0.1111111111111111,0.037037037037037035,0.0,0,5,27
AM Nayar,M Muralitharan,0.4,0.48,0.08,0.0,0.04,0.0,0.0,0,5,25
